time,conc,type
0.2243,32.7694,"AmB, plasma, simul"
3.6162,15.3609,"AmB, plasma, simul"
8.385,5.864,"AmB, plasma, simul"
14.0011,1.9518,"AmB, plasma, simul"
19.4026,0.8583,"AmB, plasma, simul"
25.1213,0.3778,"AmB, plasma, simul"
0.1089,75.6761,"AmB, plasma, obs"
0.9587,53.5201,"AmB, plasma, obs"
4.0335,25.0649,"AmB, plasma, obs"
7.9541,11.7675,"AmB, plasma, obs"
0.491,0.266,"nonLIP, plasma, simul"
1.549,0.2488,"nonLIP, plasma, simul"
3.3487,0.2029,"nonLIP, plasma, simul"
5.7827,0.1658,"nonLIP, plasma, simul"
8.0037,0.1556,"nonLIP, plasma, simul"
12.4457,0.1371,"nonLIP, plasma, simul"
16.8861,0.1389,"nonLIP, plasma, simul"
21.1158,0.1311,"nonLIP, plasma, simul"
24.8162,0.1325,"nonLIP, plasma, simul"
0.4229,22.7585,"AmB, liver, simul"
2.326,32.9501,"AmB, liver, simul"
5.3921,38.8406,"AmB, liver, simul"
10.467,42.1697,"AmB, liver, simul"
17.9736,43.9397,"AmB, liver, simul"
24,40.4709,"AmB, liver, simul"
0.3172,20.9618,"AmB, liver, obs"
1.0573,35.7743,"AmB, liver, obs"
4.0176,47.7058,"AmB, liver, obs"
8.0352,56.2341,"AmB, liver, obs"
24,49.7083,"AmB, liver, obs"
0.4229,10,"nonLIP, liver, simul"
0.6344,10,"nonLIP, liver, simul"
3.3833,7.4989,"nonLIP, liver, simul"
6.6608,5.8595,"nonLIP, liver, simul"
10.2555,5.1795,"nonLIP, liver, simul"
16.8106,4.5784,"nonLIP, liver, simul"
24.2115,4.394,"nonLIP, liver, simul"
0.3186,9.1968,"AmB, kidney, simul"
4.2478,5.3367,"AmB, kidney, simul"
8.177,3.0968,"AmB, kidney, simul"
13.1681,2.1246,"AmB, kidney, simul"
18.0531,1.5199,"AmB, kidney, simul"
24.1062,1.3978,"AmB, kidney, simul"
0.2124,7.4598,"AmB, kidney, obs"
0.9558,5.3367,"AmB, kidney, obs"
4.0354,4.3288,"AmB, kidney, obs"
7.9646,4.1513,"AmB, kidney, obs"
24,2.2154,"AmB, kidney, obs"
0.2124,0.9197,"nonLIP, kidney, simul"
1.0619,1.3978,"nonLIP, kidney, simul"
2.1239,1.7233,"nonLIP, kidney, simul"
3.823,1.9539,"nonLIP, kidney, simul"
5.2035,1.9539,"nonLIP, kidney, simul"
6.5841,1.8738,"nonLIP, kidney, simul"
10.1947,1.6527,"nonLIP, kidney, simul"
13.2743,1.5199,"nonLIP, kidney, simul"
17.8407,1.4576,"nonLIP, kidney, simul"
23.3628,1.3978,"nonLIP, kidney, simul"
0.3499,24.089,"AmB, spleen, simul"
1.6032,47.0682,"AmB, spleen, simul"
3.8158,65.7933,"AmB, spleen, simul"
8.04,81.1131,"AmB, spleen, simul"
16.602,88.1971,"AmB, spleen, simul"
23.8981,84.581,"AmB, spleen, simul"
0.2355,35.1119,"AmB, spleen, obs"
0.9708,43.2876,"AmB, spleen, obs"
3.9254,55.6486,"AmB, spleen, obs"
7.9343,81.1131,"AmB, spleen, obs"
23.8962,91.9679,"AmB, spleen, obs"
0.4748,10.4275,"nonLIP, spleen, simul"
1.4244,11.3382,"nonLIP, spleen, simul"
3.0123,10.4275,"nonLIP, spleen, simul"
5.7669,8.1113,"nonLIP, spleen, simul"
9.5769,6.8606,"nonLIP, spleen, simul"
13.5974,6.0509,"nonLIP, spleen, simul"
19.3057,6.3096,"nonLIP, spleen, simul"
24.3825,5.8028,"nonLIP, spleen, simul"
0.3186,18.4525,"AmB, lung, simul"
3.823,8.6254,"AmB, lung, simul"
7.3274,4.5767,"AmB, lung, simul"
12.2124,2.1393,"AmB, lung, simul"
18.0531,1.1841,"AmB, lung, simul"
24.6372,0.8445,"AmB, lung, simul"
0.2124,7.2843,"AmB, lung, obs"
0.9558,5.6532,"AmB, lung, obs"
4.0354,3.4049,"AmB, lung, obs"
8.0708,2.7566,"AmB, lung, obs"
24,1.2885,"AmB, lung, obs"
0.2124,1.5258,"nonLIP, lung, simul"
0.6372,1.6603,"nonLIP, lung, simul"
1.8053,1.4021,"nonLIP, lung, simul"
3.3982,1.1841,"nonLIP, lung, simul"
6.2655,1,"nonLIP, lung, simul"
9.4513,0.881,"nonLIP, lung, simul"
13.1681,0.8096,"nonLIP, lung, simul"
17.2035,0.7761,"nonLIP, lung, simul"
24.1062,0.744,"nonLIP, lung, simul"
